entry_id,Publisher Name,Keyword,Match Type,Campaign,Keyword Group,Category,Bid Strategy,Status,Search Engine Bid,Impressions,Avg. Pos.,Avg. Cost per Click,Clicks
mkt_001,Google - Global,fly to nice,Broad,Air France Global Campaign,Nice,nice,Position 1- 3,Unavailable,$1.25 ,380,1.85,$0.95 ,15
mkt_002,Yahoo - US,munich airport,Advanced,Western Europe Destinations,Munich,uncategorized,,Paused,$6.25 ,25,1.84,$5.71 ,1
mkt_003,Overture - Global,chicago to paris,Advanced,Unassigned,Unassigned,paris,Position 1-2 Target,Sent,$0.45 ,"2,315",4.48,$0.43 ,14
mkt_005,Yahoo - US,discount international airfare,Advanced,Geo Targeted Los Angeles,Discount International Los Angeles,uncategorized,,Paused,$6.25 ,86,1.42,$2.45 ,9
mkt_006,Google - US,cont:google_yearlong 2006::google|marrakech,N/A,Google_Yearlong 2006,Google|marrakech,uncategorized,,Unavailable,$7.50 ,19,1.53,$4.63 ,1
mkt_007,Google - US,air france,Broad,Air France Branded,Air France Brand,uncategorized,,Live,$27.50 ,"385,476",1.44,$1.59 ,"29,060"
mkt_008,Yahoo - US,bargain europe flight,Advanced,Geo Targeted Boston,Bargain Europe Boston,uncategorized,,Paused,$6.25 ,1,1,$1.50 ,1
mkt_009,Overture - US,airplane tiket,Standard,Unassigned,Unassigned,airgeneral,Position 5-10 Bid Strategy,Paused,$0.13 ,59,1.75,$0.56 ,2
mkt_010,Overture - Global,boston paris flight,Standard,Unassigned,Unassigned,ebsaleend7.28,,Paused,$8.75 ,23,0.96,$0.27 ,3
mkt_011,Google - US,stuttgart fare,Broad,Google_Yearlong 2006,Google|Stuttgart,stuttgart,Position 5-10 Bid Strategy,Paused,$6.25 ,12,1,$1.89 ,1
mkt_012,Overture - Global,montpellier airport,Standard,Unassigned,Unassigned,montpellier,Position 1-2 Target,Paused,$0.28 ,577,2.25,$0.26 ,10
mkt_013,Overture - US,airline ticket to france,Standard,Unassigned,Unassigned,france,Position 1-4 Bid Strategy,Paused,$1.26 ,225,2.1,$0.73 ,14
mkt_014,Overture - US,cheap flight to frankfurt,Advanced,Unassigned,Unassigned,frankfurt,Position 5-10 Bid Strategy,Paused,$1.25 ,"1,001",1.83,$0.97 ,48
mkt_015,Google - US,rome plane tickets,Broad,Google_Yearlong 2006,Google|Rome,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25 ,14,1.71,$1.69 ,1
mkt_016,Google - US,barcelona airport,Broad,Google_Yearlong 2006,Google|Barcelona,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25 ,"1,854",1.99,$4.30 ,1
mkt_017,Google - US,barcelona airlines,Broad,Google_Yearlong 2006,Google|Barcelona,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25 ,"2,704",2.13,$2.72 ,93
mkt_018,Google - US,marseille flights,Broad,French Destinations,Marseille,uncategorized,Position 2-5 Bid Strategy,Paused,$10.00 ,359,1.16,$2.35 ,43
mkt_019,Google - US,europe tickets,Broad,Geo Targeted New York,Europe New York,uncategorized,Position 5-10 Bid Strategy,Unavailable,$6.25 ,66,2.86,$1.88 ,2
mkt_020,Google - Global,air france website,Broad,Air France Brand & French Destinations,Air France Website,uncategorized,,Unavailable,$5.00 ,138,1.05,$0.69 ,38
mkt_021,Google - US,italy plane tickets,Broad,Geo Targeted Detroit,Detroit to Italy Sale,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25 ,2,1.5,$5.43 ,1
mkt_022,Yahoo - US,cheap international flight,Advanced,Geo Targeted Cincinnati,Cheap International Cincinnati,uncategorized,,Paused,$6.25 ,129,8.45,$1.56 ,2
mkt_023,Overture - US,discount england flight,Advanced,Unassigned,Unassigned,discount,Position 5-10 Bid Strategy,Paused,$0.19 ,169,3.08,$0.73 ,4
mkt_024,Google - US,france airline tickets,Broad,Geo Targeted Los Angeles,Los Angeles to France Sale,uncategorized,Position 5-10 Bid Strategy,Unavailable,$6.25 ,8,1.25,$2.81 ,4
mkt_025,Google - US,flights to frankfurt,Broad,Google_Yearlong 2006,Google|Frankfurt,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25 ,565,1.73,$3.45 ,26
mkt_026,Google - US,rome flight,Broad,Geo Targeted San Francisco,San Francisco to Rome Sale,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25 ,55,2.16,$2.34 ,5
mkt_027,Google - US,cheap travel france,Broad,Paris & France Terms,France,uncategorized,Pos 3-6,Paused,$10.00 ,"1,357",1.76,$5.29 ,107
mkt_028,Google - US,paris ticket,Broad,Paris & France Terms,Paris,uncategorized,Position 5-10 Bid Strategy,Paused,$10.00 ,"2,308",1.39,$2.16 ,112
mkt_029,Google - Global,paris airport,Broad,Air France Brand & French Destinations,Paris,uncategorized,,Unavailable,$5.00 ,"3,180",1.19,$2.28 ,21
mkt_030,Google - Global,oslo airfare,Broad,Air France Global Campaign,Oslo,oslo,Position 1- 3,Unavailable,$11.25 ,43,1,$0.98 ,1
mkt_031,MSN - Global,aeroport lyon,Broad,Air France Brand & French Destinations,Lyon,uncategorized,Position 2-5 Bid Strategy,Deactivated,$0.00 ,173,1.23,$0.09 ,3
mkt_032,Google - US,europe flight,Broad,Geo Targeted New York,Europe New York,uncategorized,Position 5-10 Bid Strategy,Unavailable,$6.25 ,193,2,$2.59 ,5
mkt_033,Overture - US,johannesburg,Standard,Unassigned,Unassigned,regional,Position 5-10 Bid Strategy,Paused,$11.25 ,"6,395",0.93,$0.65 ,177
mkt_034,Google - Global,paris travel information,Broad,Air France Brand & French Destinations,Paris,uncategorized,,Unavailable,$5.00 ,164,1.19,$2.65 ,5
mkt_035,Google - US,air france to paris,Broad,Paris & France Terms,Paris Branded,uncategorized,Position 2-5 Bid Strategy,Live,$10.00 ,"1,223",1.07,$1.50 ,247
mkt_036,Google - US,paris cheap ticket,Broad,Geo Targeted Miami,Miami to Paris Sale,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25 ,1,1,$3.26 ,1
mkt_037,MSN - US,flight to paris,Broad,Air France Brand & French Destinations,Paris,uncategorized,,Live,$0.00 ,"2,753",1.5,$2.14 ,82
mkt_038,Google - US,rome airport,Broad,Western Europe Destinations,Rome,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25 ,"4,171",6.03,$0.58 ,5
mkt_039,Google - Global,new york to paris flight,Broad,Air France Brand & French Destinations,Paris,uncategorized,,Unavailable,$5.00 ,109,1.05,$2.63 ,15
mkt_040,Overture - US,international flight travel,Standard,Unassigned,Unassigned,internationalflight,Position 5-10 Bid Strategy,Paused,$8.75 ,"1,173",1.15,$0.58 ,5
mkt_041,Google - Global,bordeaux tickets,Broad,Air France Global Campaign,Bordeaux,bordeaux,Position 1- 3,Unavailable,$1.25 ,"1,221",1.65,$1.69 ,1
mkt_042,Google - US,hanover flights,Broad,Google_Yearlong 2006,Google|Hanover,hanover,Position 5-10 Bid Strategy,Paused,$6.25 ,163,1.06,$4.11 ,1
mkt_043,Google - US,cont:google_yearlong 2006::google|delhi,N/A,Google_Yearlong 2006,Google|Delhi,uncategorized,,Unavailable,$7.50 ,"24,600",1.28,$1.88 ,48
mkt_044,Google - US,paris cheap flight,Broad,Geo Targeted Chicago,Chicago to Paris Sale,uncategorized,Position 5-10 Bid Strategy,Unavailable,$6.25 ,59,2.85,$1.93 ,8
